From,To,Distance,Value,FKS,AAWCE,WS
Residential,Residential,0,1000.0,0.009277185131879006,0.00196371041159,0.00564342316184
Industry & commerce,Industry & commerce,0,1000.0,0.009277185131879006,0.00196371041159,0.00564342316184
Forest,Forest,0,1000.0,0.009277185131879006,0.00196371041159,0.00564342316184
Recreation areas,Recreation areas,0,1000.0,0.009277185131879006,0.00196371041159,0.00564342316184
Agricultural areas,Agricultural areas,0,343.4588481235804,0.009361257739820075,0.00194975369295,0.00585332776827
Pastures,Pastures,0,500.0,0.009361257739820075,0.00194975369295,0.00585332776827
Permanent crops,Permanent crops,0,259.86671312231863,0.009427183709480503,0.00194462589952,0.00598884335152
Arable land,Arable land,0,357.0943103013802,0.00945961062126197,0.00131935618233,0.00916923679046
Residential,Residential,1,42.9563482495163,0.022078047267903144,0.00518342915755,0.0108795996588
Industry & commerce,Industry & commerce,1,76.89570212408518,0.03344362160104785,0.00594189145007,0.0260299120847
Forest,Forest,1,7.390870623790754,0.03363065184256826,0.00592398097237,0.0264311815424
Recreation areas,Recreation areas,1,44.58247200067297,0.034582604008063345,0.00593267506473,0.0279742980231
Agricultural areas,Agricultural areas,1,0.502499874064149,0.03509444200666559,0.00572289073586,0.0298762829985
Pastures,Pastures,1,39.512162874653,0.05859663868587959,0.00993862086597,0.0479679601466
Permanent crops,Permanent crops,1,54.41252825119873,0.058997058964419355,0.0100157362998,0.0482497501082
Arable land,Arable land,1,0.502499874064149,0.06308125042359783,0.00815890006894,0.0643409170279
Forest,Residential,0,41.64078649987382,0.06307356900307479,0.00815590366827,0.0643430966638
Pastures,Residential,0,6.25,0.06307356900307479,0.00815590366827,0.0643430966638
Permanent crops,Residential,0,87.03632037612513,0.06307360780673815,0.00812357263771,0.0645048164893
Arable land,Residential,0,38.19660112501052,0.06358263084344963,0.0081768833733,0.0650866345393
Forest,Industry & commerce,0,44.27190999915879,0.06365490615409626,0.00816914934268,0.0652457635434
Arable land,Industry & commerce,0,90.98300562505258,0.06592799342661951,0.00834348536129,0.0681625622379
Forest,Agricultural areas,0,12.5,0.06592799342661951,0.00834348536129,0.0681625622379
Residential,Forest,0,6.25,0.06592799342661951,0.00834348536129,0.0681625622379
Residential,Recreation areas,0,6.25,0.06592799342661951,0.00834348536129,0.0681625622379
Agricultural areas,Forest,0,32.12129225086224,0.06601187018802973,0.00834943847576,0.0682725912679
Agricultural areas,Pastures,0,32.93435412644058,0.0653347031552979,0.00820994013238,0.0678414712636
Pastures,Forest,0,40.827724624295485,0.06537444141523899,0.00820200264643,0.0679473891266
Pastures,Agricultural areas,0,12.5,0.06537444141523899,0.00820200264643,0.0679473891266
Pastures,Arable land,0,67.37620787507362,0.06540427111631794,0.00814930044332,0.0682606163106
Permanent crops,Recreation areas,0,51.973342624463726,0.06587605853408324,0.00811610130478,0.0692129243663
Permanent crops,Arable land,0,15.092303249095693,0.06608298180630863,0.00810105271124,0.0696330394543
Arable land,Forest,0,12.5,0.06608298180630863,0.00810105271124,0.0696330394543
Arable land,Recreation areas,0,22.291236000336482,0.0661312019168177,0.00809748650048,0.069731237359
Arable land,Agricultural areas,0,12.5,0.0661312019168177,0.00809748650048,0.069731237359
Arable land,Pastures,0,27.864045000420603,0.06639471282825711,0.00819998732906,0.0696579180685
Arable land,Permanent crops,0,78.52182587524186,0.06989040332442462,0.00815931968503,0.0756874071156
Natural areas,Forest,0,18.033988749894846,0.07012432206918244,0.00813681659951,0.0761897871177
Recreation areas,Residential,1,45.898033750315456,0.06983655004648459,0.00788187936169,0.076984853269
Agricultural areas,Residential,1,0.8130618755783346,0.06977964967992138,0.00789133148411,0.0768427587126
Permanent crops,Residential,1,29.179606750063087,0.0669063245516883,0.00650945838121,0.0789632490134
Arable land,Residential,1,15.402865250609878,0.06808183450175266,0.00559614811178,0.0854889836107
Airports,Industry & commerce,1,20.665112249179813,0.06784789892228961,0.00558343988155,0.0851626321294
Agricultural areas,Industry & commerce,1,2.9416855007991534,0.06780691755259138,0.00559481167915,0.0850374708586
Arable land,Industry & commerce,1,11.958679875746576,0.06874260150922679,0.00546997740574,0.0872211154867
Fresh water,Agricultural areas,1,15.092303249095693,0.06894281601056182,0.00549757494539,0.087416818624
Mine & dump sites,Forest,1,41.64078649987382,0.07223582880370452,0.00560643082948,0.0923608938588
Airports,Permanent crops,1,32.12129225086225,0.07235949037012822,0.00559395848815,0.0926293581761
Agricultural areas,Forest,1,1.3155617496424838,0.07235949037012822,0.00559395848815,0.0926293581761
Agricultural areas,Pastures,1,2.128623625220819,0.07240563019853172,0.00559968738538,0.092677613404
Agricultural areas,Permanent crops,1,27.05098312484227,0.07340376240474143,0.0056259683761,0.0942097621274
Agricultural areas,Arable land,1,22.291236000336482,0.0711605434390505,0.00707706787802,0.0832155663417
Pastures,Agricultural areas,1,8.514494500883274,0.07165877151736674,0.00705308912517,0.0841658402364
Pastures,Arable land,1,2.128623625220819,0.0716793361747485,0.00705250249193,0.0842030478316
Permanent crops,Recreation areas,1,23.91735975149315,0.07240900733867688,0.00713419548654,0.0850107014651
Permanent crops,Pastures,1,5.572809000084121,0.07253620688016252,0.00717327927637,0.0850272817518
Permanent crops,Arable land,1,42.453848375452154,0.07347885126933221,0.00720367026041,0.0864464008135
