theta_st,theta_cp,theta_it,FK,FKS,CLU,Dev
0.1,0.1,0.01625,0.93106074,0.051361396,0.010999517,-2.446010086
0.1,0.0775,0.0275,0.932544134,0.05105737,0.010077123,-2.446010086
0.1,0.1,0.0275,0.928256867,0.050068786,0.008965056,-2.446010086
0.1,0.1,0.005,0.930957845,0.049809042,0.012875658,-2.446010086
0.0775,0.1,0.01625,0.934396234,0.0494625,0.006340645,-2.446010086
0.1,0.0775,0.01625,0.932492687,0.048596969,0.010943475,-2.446010086
0.0775,0.1,0.005,0.933341566,0.047067826,0.009860092,-2.446010086
0.1,0.055,0.03875,0.932286898,0.045957945,0.008917799,-2.446010086
0.0775,0.0775,0.0275,0.934156147,0.044189232,0.005861436,-2.446010086
0.1,0.0775,0.005,0.930211861,0.043785372,0.013319791,2.494084965
0.0775,0.1,0.0275,0.932578432,0.042908341,0.00721105,-2.446010086
0.055,0.1,0.005,0.934439106,0.042823351,0.00537912,-2.446010086
0.0775,0.0775,0.01625,0.933461609,0.042608125,0.007948306,-2.446010086
0.1,0.055,0.0275,0.93160951,0.041306163,0.01164211,-2.446010086
0.1,0.0775,0.03875,0.92958592,0.040574352,0.006803527,-2.446010086
0.1,0.055,0.01625,0.931129336,0.040184467,0.011302386,-2.446010086
0.0775,0.055,0.03875,0.933555929,0.039334448,0.006121277,-2.446010086
0.1,0.0325,0.05,0.927407988,0.038922771,0.009047988,-2.446010086
0.0775,0.0775,0.005,0.93160951,0.037794499,0.010393998,2.476968428
0.1,0.1,0.03875,0.919193583,0.037567747,0.008383956,-2.446010086
0.1,0.055,0.05,0.92523863,0.037134699,0.005605956,-2.446010086
0.1,0.0325,0.03875,0.929517323,0.034975029,0.010953979,-2.446010086
0.0775,0.055,0.0275,0.931755277,0.034475035,0.008126472,-2.446010086
0.1,0.055,0.005,0.929182916,0.034191238,0.012672601,2.504616844
0.055,0.1,0.01625,0.934524852,0.032086166,0.007965621,-2.446010086
0.0775,0.0775,0.03875,0.931335125,0.03191035,0.008296758,-2.446010086
0.1,0.0775,0.05,0.9156523,0.031092478,0.009316207,-2.446010086
0.1,0.0325,0.0275,0.929268662,0.031061988,0.010819457,-2.446010086
0.055,0.0775,0.01625,0.93308433,0.030244128,0.004664513,-2.446010086
0.0775,0.055,0.01625,0.931360848,0.029565298,0.007547888,-2.446010086
0.0775,0.055,0.005,0.930854951,0.028432331,0.00878462,2.472687808
0.1,0.0325,0.01625,0.929405854,0.028031891,0.010354245,-2.446010086
0.1,0.1,0.05,0.89740569,0.027459371,0.018404665,-2.446010086
0.055,0.0775,0.005,0.931755277,0.026563043,0.006342271,2.471246781
0.1,0.0325,0.005,0.92902,0.026308474,0.010972154,2.453857921
0.1,0.01,0.03875,0.927528031,0.025790763,0.009395123,-2.446010086
0.0775,0.01,0.03875,0.928556975,0.025154248,0.0062186,-2.446010086
0.0775,0.0325,0.05,0.927768118,0.024898833,0.008842315,-2.446010086
0.0775,0.01,0.05,0.926610556,0.024754921,0.00710499,-2.446010086
0.1,0.01,0.05,0.925058565,0.024333676,0.009814021,-2.446010086
