theta_st,theta_cp,theta_it,FK,FKS,CLU
0.1,0.1,0.025,0.929448727,0.05269719,0.009504142
0.1,0.1,0.0125,0.931369423,0.051992876,0.011932393
0.1,0.075,0.025,0.932792796,0.051662588,0.01068502
0.075,0.1,0.0125,0.934739215,0.05153065,0.00679726
0.075,0.1,0,0.932655603,0.04951255,0.010754674
0.1,0.1,0,0.930186137,0.047530228,0.013600315
0.075,0.1,0.025,0.933641675,0.045271985,0.006856498
0.1,0.075,0.0125,0.931549488,0.044864041,0.012091901
0.1,0.05,0.0375,0.93215828,0.043044757,0.010063907
0.075,0.075,0.025,0.934078976,0.042801788,0.005678986
0.1,0.075,0.0375,0.930837802,0.042761584,0.007416895
0.1,0.075,0,0.92902,0.041358257,0.014112035
0.075,0.075,0.0125,0.932947137,0.040431331,0.008025472
0.1,0.1,0.0375,0.920925639,0.040413193,0.008138847
0.05,0.1,0,0.933332991,0.037276484,0.006398573
0.1,0.05,0.025,0.930726333,0.037258869,0.011746663
0.1,0.05,0.05,0.925907444,0.036899308,0.005137608
0.1,0.05,0.0125,0.930391926,0.034285263,0.011755052
0.075,0.075,0.0375,0.93253556,0.033885965,0.008315373
0.05,0.1,0.0125,0.934722066,0.032824196,0.007558865
0.1,0.075,0.05,0.917590145,0.032515983,0.008648178
0.1,0.05,0,0.928891382,0.032194028,0.012576135
0.1,0.025,0.05,0.926087509,0.031652,0.010113078
0.075,0.05,0.025,0.931412295,0.03137619,0.007285999
0.075,0.075,0,0.930451948,0.03047533,0.01098467
0.075,0.05,0.0375,0.931660957,0.030249077,0.00413379
0.1,0.025,0.025,0.92902,0.029149493,0.010116755
0.075,0.05,0.0125,0.931163634,0.028318544,0.007128925
0.1,0.025,0.0375,0.928539826,0.028088574,0.010505116
0.1,0.1,0.05,0.89740569,0.027459371,0.018404665
0.075,0.05,0,0.930649162,0.026597772,0.008225424
0.05,0.075,0.0125,0.932578432,0.026324602,0.003413167
0.075,0.025,0.0375,0.929217215,0.026246863,0.006038069
0.1,0,0.05,0.92523863,0.025672824,0.009456744
0.075,0.1,0.0375,0.921131428,0.024983865,0.014068767
0.05,0.075,0.025,0.934070401,0.024863128,0.012796995
0.1,0.025,0,0.928599848,0.024512128,0.010643073
0.1,0.025,0.0125,0.928762764,0.024240698,0.010419531
0.1,0,0.0375,0.927193624,0.023392444,0.00857775
0.075,0,0.0375,0.928428357,0.023351903,0.005785342
0.05,0.075,0,0.931163634,0.023228472,0.005908403
0.1,0,0.025,0.927836714,0.02174672,0.00875902
0.075,0.025,0.025,0.929560196,0.021095291,0.005984525
0.075,0.025,0.05,0.926756323,0.021068379,0.006677608
0.05,0.1,0.025,0.933384438,0.020938692,0.016368134
0.1,0,0.0125,0.928145398,0.020686094,0.009472949
0.075,0,0.05,0.926473363,0.02063198,0.007024588
0.05,0.05,0.025,0.932355494,0.019487156,0.003869983
0.1,0,0,0.927493733,0.019110504,0.010183549
0.075,0.05,0.05,0.925058565,0.018913909,0.016866743
0.075,0.025,0,0.929294385,0.017672272,0.0074452
0.075,0.025,0.0125,0.929508749,0.016262759,0.006354167
0.05,0.05,0.0125,0.931626659,0.014305728,0.003765203
0.05,0.05,0.0375,0.932209727,0.013788133,0.019673963
0.05,0.025,0.0375,0.929903177,0.013670221,0.005340723
0.05,0.05,0,0.930409075,0.013572352,0.004475247
0.025,0.1,0,0.932355494,0.012380557,0.005988229
0.075,0,0.025,0.928351187,0.012322099,0.00577222
0.075,0.075,0.05,0.911425055,0.011862888,0.025543046
0.05,0,0.0375,0.92902,0.011758537,0.004028525
0.05,0,0.05,0.926662003,0.011504974,0.009708739
0.075,0,0.0125,0.928171121,0.011244302,0.006340433
0.05,0.025,0.025,0.930280457,0.010619701,0.004349464
0.025,0,0.0375,0.930889249,0.009378247,0.013172259
