theta_cp,FK,FKS,CLU
0,0.93600377,0.010314306,0.002700499
0.0025,0.936191981,0.010598529,0.002625972
0.005,0.93639513,0.01042187,0.002598155
0.0075,0.936797437,0.010660914,0.002656239
0.01,0.93716764,0.010618433,0.002625443
0.0125,0.937510787,0.010466778,0.002542045
0.015,0.937807745,0.010551011,0.002359439
0.0175,0.938001128,0.010385458,0.002176589
0.02,0.938137226,0.010354212,0.002002879
0.0225,0.938229398,0.010111548,0.001876614
0.025,0.938278396,0.010062189,0.00186854
0.0275,0.938264106,0.009959974,0.00190345
0.03,0.938301489,0.009922712,0.001951962
0.0325,0.938311854,0.009947068,0.002055616
0.035,0.938313334,0.009989537,0.002097028
0.0375,0.938369052,0.010218878,0.00217188
0.04,0.938389218,0.010078491,0.002237201
0.0425,0.938420632,0.010113726,0.002283451
0.045,0.938457912,0.0101483,0.002356773
0.0475,0.938506248,0.010053649,0.002451811
0.05,0.938546471,0.010545237,0.002472314
