theta_it,FK,FKS,CLU
0,0.937858349,0.027253749,0.008173973
0.001,0.937997069,0.027560216,0.00811744
0.002,0.938086995,0.027912493,0.008040963
0.003,0.93823986,0.028124829,0.007998069
0.004,0.938404095,0.028509384,0.007931441
0.005,0.938565018,0.02947609,0.007833769
0.006,0.938695836,0.029945215,0.007734644
0.007,0.938857548,0.030279308,0.007701841
0.008,0.938973738,0.030826859,0.007641202
0.009,0.939087359,0.031325739,0.007552019
0.01,0.93925035,0.032248956,0.007450962
0.011,0.939397898,0.032789581,0.007246664
0.012,0.93956579,0.033296985,0.007089669
0.013,0.939735577,0.034444926,0.006929887
0.014,0.93991716,0.034960689,0.006719708
0.015,0.940030067,0.035992424,0.006778653
0.016,0.940175056,0.036564782,0.006810771
0.017,0.94027204,0.037489845,0.006863317
0.018,0.940441075,0.038724623,0.006919007
0.019,0.940517578,0.039305304,0.006930367
0.02,0.94060737,0.039837519,0.006933038
