from,to,y0,y1,y2,xe
Natural areas,Arable land,0,0,0,5
Natural areas,Permanent crops,0,0,0,5
Natural areas,Pastures,0,0,0,5
Natural areas,Agricultural areas,0,0,0,5
Natural areas,Residential,0,0,0,5
Natural areas,Industry & commerce,0,0,0,5
Natural areas,Recreation areas,0,0,0,5
Natural areas,Forest,18.033988749894846,5.0,0.5,5
Arable land,Arable land,357.0943103013802,0.502499874064149,0.0502499874064149,5
Arable land,Permanent crops,78.52182587524186,1.25,0.125,5
Arable land,Pastures,27.864045000420603,1.25,0.125,5
Arable land,Agricultural areas,12.5,1.25,0.125,5
Arable land,Residential,38.19660112501052,15.402865250609878,1.5402865250609878,5
Arable land,Industry & commerce,90.98300562505258,11.958679875746576,1.1958679875746576,5
Arable land,Recreation areas,22.291236000336482,1.25,0.125,4
Arable land,Forest,12.5,0,0,5
Permanent crops,Arable land,15.092303249095693,42.453848375452154,4.245384837545216,5
Permanent crops,Permanent crops,259.86671312231863,54.41252825119873,5.441252825119873,5
Permanent crops,Pastures,0,5.572809000084121,0.5572809000084121,5
Permanent crops,Agricultural areas,0,0,0,5
Permanent crops,Residential,87.03632037612513,29.179606750063087,2.917960675006309,5
Permanent crops,Industry & commerce,0,0,0,5
Permanent crops,Recreation areas,51.973342624463726,23.91735975149315,2.3917359751493152,5
Permanent crops,Forest,0,0,0,5
Pastures,Arable land,67.37620787507362,2.128623625220819,0.2128623625220819,5
Pastures,Permanent crops,0,0,0,5
Pastures,Pastures,500.0,39.512162874653,3.9512162874653,5
Pastures,Agricultural areas,12.5,8.514494500883274,0.8514494500883274,5
Pastures,Residential,6.25,0,0,5
Pastures,Industry & commerce,0,0,0,5
Pastures,Recreation areas,0,0,0,5
Pastures,Forest,40.827724624295485,0,0,5
Agricultural areas,Arable land,0,22.291236000336482,2.2291236000336485,5
Agricultural areas,Permanent crops,0,27.05098312484227,2.705098312484227,5
Agricultural areas,Pastures,32.93435412644058,2.128623625220819,0.2128623625220819,5
Agricultural areas,Agricultural areas,343.4588481235804,0.502499874064149,0.0502499874064149,5
Agricultural areas,Residential,0,0.8130618755783346,0.08130618755783348,5
Agricultural areas,Industry & commerce,0,2.9416855007991534,0.2941685500799153,5
Agricultural areas,Recreation areas,0,0,0,5
Agricultural areas,Forest,32.12129225086224,1.3155617496424838,0.1315561749642484,3
Residential,Arable land,0,0,0,5
Residential,Permanent crops,0,0,0,5
Residential,Pastures,0,0,0,5
Residential,Agricultural areas,0,0,0,5
Residential,Residential,1000.0,42.9563482495163,4.29563482495163,5
Residential,Industry & commerce,0,0,0,5
Residential,Recreation areas,6.25,0,0,5
Residential,Forest,6.25,0,0,5
Industry & commerce,Arable land,0,0,0,5
Industry & commerce,Permanent crops,0,0,0,5
Industry & commerce,Pastures,0,0,0,5
Industry & commerce,Agricultural areas,0,0,0,5
Industry & commerce,Residential,0,0,0,5
Industry & commerce,Industry & commerce,1000.0,76.89570212408518,7.689570212408518,5
Industry & commerce,Recreation areas,0,0,0,5
Industry & commerce,Forest,0,0,0,5
Recreation areas,Arable land,0,0,0,5
Recreation areas,Permanent crops,0,0,0,5
Recreation areas,Pastures,0,0,0,5
Recreation areas,Agricultural areas,0,0,0,5
Recreation areas,Residential,0,45.898033750315456,4.589803375031546,5
Recreation areas,Industry & commerce,0,0,0,5
Recreation areas,Recreation areas,1000.0,44.58247200067297,4.458247200067297,5
Recreation areas,Forest,0,0,0,5
Forest,Arable land,0,0,0,5
Forest,Permanent crops,0,0,0,5
Forest,Pastures,0,0,0,5
Forest,Agricultural areas,12.5,0,0,5
Forest,Residential,41.64078649987382,0,0,5
Forest,Industry & commerce,44.27190999915879,0,0,5
Forest,Recreation areas,0,0,0,5
Forest,Forest,1000.0,7.390870623790754,0.7390870623790754,5
Road & rail,Arable land,0,0,0,5
Road & rail,Permanent crops,0,0,0,5
Road & rail,Pastures,0,0,0,5
Road & rail,Agricultural areas,0,0,0,5
Road & rail,Residential,0,0,0,5
Road & rail,Industry & commerce,0,0,0,5
Road & rail,Recreation areas,0,0,0,5
Road & rail,Forest,0,0,0,5
Port area,Arable land,0,0,0,5
Port area,Permanent crops,0,0,0,5
Port area,Pastures,0,0,0,5
Port area,Agricultural areas,0,0,0,5
Port area,Residential,0,0,0,5
Port area,Industry & commerce,0,0,0,5
Port area,Recreation areas,0,0,0,5
Port area,Forest,0,0,0,5
Airports,Arable land,0,0,0,5
Airports,Permanent crops,0,32.12129225086225,3.212129225086225,5
Airports,Pastures,0,0,0,5
Airports,Agricultural areas,0,0,0,5
Airports,Residential,0,0,0,5
Airports,Industry & commerce,0,20.665112249179813,2.0665112249179813,5
Airports,Recreation areas,0,0,0,5
Airports,Forest,0,0,0,5
