From,To,Distance,Value,FKS,AAWCE,WS
Residential,Residential,0,1000.0,0.07299714876266977,0.0105225514921,0.0690491571438
Industry & commerce,Industry & commerce,0,1000.0,0.07299714876266977,0.0105225514921,0.0690491571438
Forest,Forest,0,500.0,0.07299714876266977,0.0105225514921,0.0690491571438
Recreation areas,Recreation areas,0,1000.0,0.07299714876266977,0.0105225514921,0.0690491571438
Agricultural areas,Agricultural areas,0,1000.0,0.07299714876266977,0.0105225514921,0.0690491571438
Pastures,Pastures,0,500.0,0.07299714876266977,0.0105225514921,0.0690491571438
Permanent crops,Permanent crops,0,610.1999303165221,0.07374229766235299,0.0102077891842,0.0718648835164
Arable land,Arable land,0,289.4668524892745,0.07366508066564877,0.0092953084644,0.0762985921207
Residential,Residential,1,53.599466375620395,0.07391121595247648,0.00948165679434,0.0757770759491
Industry & commerce,Industry & commerce,1,52.78640450004206,0.07644682344777037,0.010405917176,0.0753817865328
Forest,Forest,1,9.016994374947423,0.07834133888669302,0.0108132009236,0.0765028935267
Recreation areas,Recreation areas,1,52.78640450004206,0.0803645604317906,0.0111864944635,0.0780084617356
Agricultural areas,Agricultural areas,1,0.502499874064149,0.08047038127344436,0.0104117387505,0.0820586083699
Pastures,Pastures,1,3.444185374863302,0.08732169871896327,0.008639462917,0.102338849947
Permanent crops,Permanent crops,1,8.203932499369088,0.08720126240245339,0.0083596099226,0.103537387724
Arable land,Arable land,1,6.8883707497266045,0.08697176436992357,0.00780461005244,0.105929890354
Agricultural areas,Residential,0,99.49750012593586,0.08705450168754215,0.00770151904729,0.106583240909
Pastures,Residential,0,67.37620787507362,0.08733216656085184,0.00761678513177,0.107469685276
Permanent crops,Residential,0,6.25,0.08733216656085184,0.00761678513177,0.107469685276
Arable land,Residential,0,25.0,0.08733216656085184,0.00761678513177,0.107469685276
Natural areas,Residential,0,70.00733137435857,0.08726290018194806,0.00756264195239,0.107624957208
Residential,Industry & commerce,0,6.25,0.08726290018194806,0.00756264195239,0.107624957208
Agricultural areas,Industry & commerce,0,6.25,0.08726290018194806,0.00756264195239,0.107624957208
Pastures,Industry & commerce,0,52.78640450004206,0.08735717304436445,0.00757714228602,0.107709576977
Permanent crops,Industry & commerce,0,6.25,0.08735717304436445,0.00757714228602,0.107709576977
Arable land,Industry & commerce,0,57.0436517504837,0.08744216561186277,0.00760976271744,0.107688129099
Forest,Agricultural areas,0,6.25,0.08744216561186277,0.00760976271744,0.107688129099
Residential,Recreation areas,0,12.5,0.08744216561186277,0.00760976271744,0.107688129099
Agricultural areas,Pastures,0,6.25,0.08744216561186277,0.00760976271744,0.107688129099
Agricultural areas,Arable land,0,6.25,0.08744216561186277,0.00760976271744,0.107688129099
Pastures,Recreation areas,0,84.09463487532597,0.08696153536030682,0.00757158783657,0.107077953084
Pastures,Agricultural areas,0,6.25,0.08696153536030682,0.00757158783657,0.107077953084
Pastures,Arable land,0,25.0,0.08696153536030682,0.00757158783657,0.107077953084
Permanent crops,Agricultural areas,0,39.512162874653,0.0874502446616669,0.00749440221241,0.108278396707
Permanent crops,Pastures,0,6.25,0.0874502446616669,0.00749440221241,0.108278396707
Permanent crops,Arable land,0,93.61412912433752,0.08763470581207339,0.00741557763557,0.108979954842
Arable land,Forest,0,38.19660112501052,0.08773930116675123,0.00737539477281,0.109355194747
Arable land,Recreation areas,0,97.05831449920083,0.08814876310420178,0.00743829716718,0.109723119338
Arable land,Agricultural areas,0,96.5558146251367,0.08696873481025136,0.00726542936644,0.108620744518
Arable land,Pastures,0,22.79373587440063,0.0859190180767994,0.0068777457533,0.108809634695
Arable land,Permanent crops,0,25.0,0.0859190180767994,0.0068777457533,0.108809634695
Natural areas,Forest,0,44.58247200067297,0.0841141993801079,0.00632805141387,0.108550075231
Natural areas,Pastures,0,40.01466274871715,0.08066093920811546,0.00624531755937,0.103208310883
Natural areas,Arable land,0,6.25,0.08066093920811546,0.00624531755937,0.103208310883
Recreation areas,Residential,1,60.990336999411156,0.08027916205881672,0.00598331685262,0.103882019168
Agricultural areas,Residential,1,3.444185374863302,0.08014701313675142,0.00593519876217,0.103902361417
Recreation areas,Industry & commerce,1,50.15528100075709,0.08038324325852333,0.00564039215096,0.105770111343
Residential,Industry & commerce,1,34.752415750147215,0.07983992773890855,0.00557150780405,0.105209007211
Permanent crops,Industry & commerce,1,17.531488875830696,0.07989602201091407,0.00555120244531,0.105404024458
Fresh water,Recreation areas,1,41.64078649987382,0.07953373367637194,0.00544783663425,0.105317039623
Fresh water,Agricultural areas,1,39.512162874653,0.08145811204328517,0.0061459560454,0.105033739845
Mine & dump sites,Pastures,1,62.30589874905364,0.08179091583853884,0.00625372849816,0.105049550573
Mine & dump sites,Permanent crops,1,40.827724624295485,0.08181538069695143,0.00625989579651,0.105059488846
Recreation areas,Pastures,1,75.58014037444269,0.0921679553428425,0.00898676932504,0.10867941228
Industry & commerce,Recreation areas,1,47.524157501472125,0.09265957846102069,0.00901599489739,0.109352656281
Residential,Recreation areas,1,26.54848325077812,0.09247310911353827,0.0089377004216,0.109433346415
Agricultural areas,Permanent crops,1,5.572809000084121,0.09257892963755492,0.00892277097417,0.109684361192
Pastures,Arable land,1,9.830056250525757,0.09261208355322263,0.00838504214543,0.112428261862
Permanent crops,Agricultural areas,1,11.64811787423239,0.09264021773008949,0.0084069092009,0.112365816879
Permanent crops,Pastures,1,2.128623625220819,0.09288114199785319,0.0084439341222,0.112582232719
Permanent crops,Arable land,1,16.718427000252362,0.09053555621359019,0.00768199931219,0.112482597128
Arable land,Pastures,1,9.016994374947423,0.0923871507037085,0.00867709274396,0.110593120786
Arable land,Permanent crops,1,15.905365124674027,0.09429549741063462,0.00846809768055,0.114818673948
Natural areas,Forest,1,1.6261237511566695,0.09650487266230401,0.0088593753011,0.116544577932
