theta_st,theta_cp,theta_it,FK,FKS,CLU,Dev
0.055,0.0775,0.005,0.899754985,0.072460121,0.019652478,-3.012462832
0.055,0.055,0.005,0.901423101,0.072418317,0.019495096,-3.012462832
0.0775,0.0325,0.005,0.894891109,0.068859137,0.027197766,-3.012462832
0.055,0.0325,0.005,0.902020112,0.068500879,0.018869254,-3.012462832
0.1,0.1,0.01625,0.859641176,0.068394942,0.044352129,-3.012462832
0.0775,0.055,0.005,0.891177355,0.068060111,0.029228998,-3.012462832
0.055,0.01,0.005,0.902134246,0.067187531,0.018484773,-3.012462832
0.055,0.1,0.005,0.894504808,0.067040541,0.019819745,-3.012462832
0.0325,0.055,0.005,0.905672408,0.06660488,0.008577597,-3.012462832
0.0775,0.0325,0.01625,0.894206303,0.066326482,0.024983738,-3.012462832
0.1,0.0775,0.01625,0.8703259,0.066201435,0.040715994,-3.012462832
0.1,0.1,0.005,0.864241665,0.066186786,0.045176841,-3.012462832
0.0775,0.01,0.005,0.896761155,0.066040473,0.025675074,-3.012462832
0.0775,0.0775,0.005,0.886726118,0.065912514,0.031034396,-3.012462832
0.0775,0.1,0.01625,0.877542699,0.065834828,0.029282906,-3.012462832
0.1,0.0325,0.01625,0.883451342,0.065718734,0.034647156,-3.012462832
0.0775,0.1,0.005,0.880413615,0.065692436,0.032664317,-3.012462832
0.1,0.01,0.01625,0.887340687,0.065629446,0.032879693,-3.012462832
0.1,0.01,0.005,0.886980725,0.064920553,0.03474844,-3.012462832
0.1,0.0325,0.0275,0.882222204,0.064619059,0.031786606,-3.012462832
0.0325,0.0325,0.005,0.903916496,0.064517113,0.010895508,-3.012462832
0.1,0.055,0.01625,0.878429434,0.064483852,0.036804146,-3.012462832
0.0775,0.01,0.01625,0.895918317,0.063968169,0.023823581,-3.012462832
0.0775,0.055,0.01625,0.890413533,0.063877439,0.026788506,-3.012462832
0.1,0.01,0.0275,0.886445172,0.063869468,0.030154235,-3.012462832
0.1,0.0325,0.005,0.883223074,0.063759844,0.036645949,-3.012462832
0.0325,0.01,0.005,0.90245031,0.063298472,0.012533246,-3.012462832
0.0325,0.0775,0.005,0.905470479,0.063168907,0.008260685,-3.012462832
0.1,0.055,0.005,0.878859633,0.062820145,0.03842358,-3.012462832
0.1,0.0775,0.005,0.872503231,0.062684287,0.0419555,-3.012462832
0.1,0.055,0.0275,0.874663003,0.06060296,0.034922847,-3.012462832
0.0775,0.0775,0.01625,0.885382846,0.060572476,0.028191665,-3.012462832
0.055,0.01,0.01625,0.900703178,0.060076963,0.01523225,-3.012462832
0.1,0.0775,0.0275,0.861941421,0.058783198,0.038207402,-3.012462832
0.055,0.0325,0.01625,0.900141286,0.057735334,0.015104159,-3.012462832
0.0325,0.1,0.005,0.902028891,0.054331849,0.005558558,-3.012462832
0.055,0.055,0.01625,0.899157975,0.053777568,0.014535323,-3.012462832
0.1,0.1,0.0275,0.844557892,0.053280776,0.04023179,-3.012462832
0.055,0.0775,0.01625,0.896805053,0.050765724,0.013826064,-3.012462832
0.0775,0.01,0.0275,0.893012283,0.049150013,0.019233268,-3.012462832
0.0775,0.0325,0.0275,0.890720818,0.04822033,0.019819672,-3.012462832
0.0775,0.055,0.0275,0.886568086,0.045568937,0.020461672,-3.012462832
0.055,0.1,0.01625,0.889307309,0.043969052,0.007888345,-3.012462832
0.0775,0.0775,0.0275,0.876559388,0.043046493,0.021068821,-3.012462832
0.1,0.0325,0.03875,0.871827205,0.042247165,0.026309794,-3.012462832
0.1,0.01,0.03875,0.879992196,0.041965257,0.023595945,-3.012462832
0.1,0.055,0.03875,0.858815897,0.040646117,0.028894495,-3.012462832
0.0775,0.1,0.0275,0.859307553,0.040439198,0.016465354,-3.012462832
0.1,0.0775,0.03875,0.839667677,0.0345446,0.030335922,-3.012462832
0.1,0.1,0.03875,0.817148106,0.027645607,0.024956009,-3.012462832
0.1,0.01,0.05,0.855409428,0.021942019,0.024197515,-3.012462832
0.1,0.055,0.05,0.828702007,0.021385622,0.026321973,-3.012462832
0.1,0.0325,0.05,0.842863437,0.021317403,0.026824458,-3.012462832
0.0775,0.055,0.03875,0.867253054,0.020901312,0.014855012,-3.012462832
0.0775,0.0325,0.03875,0.876339899,0.02033654,0.016616606,-3.012462832
0.1,0.0775,0.05,0.80809638,0.019217422,0.019656673,-3.012462832
0.055,0.055,0.0275,0.89207287,0.018704001,0.008789304,-3.012462832
0.0775,0.0775,0.03875,0.848868656,0.017790505,0.012012306,-3.012462832
0.1,0.1,0.05,0.782310812,0.016947803,0.034512872,-3.012462832
0.0775,0.1,0.03875,0.822775804,0.015877726,0.02931652,-3.012462832
0.0325,0.0775,0.01625,0.89865754,0.015761631,0.007768589,-3.012462832
0.055,0.0775,0.0275,0.885022884,0.01550915,0.010099369,-3.012462832
