from,to,y0,y1,y2,xe
Natural areas,Arable land,6.25,0,0,5
Natural areas,Permanent crops,0,0,0,5
Natural areas,Pastures,40.01466274871715,0,0,5
Natural areas,Agricultural areas,0,0,0,5
Natural areas,Residential,70.00733137435857,0,0,5
Natural areas,Industry & commerce,0,0,0,5
Natural areas,Recreation areas,0,0,0,5
Natural areas,Forest,44.58247200067297,1.6261237511566695,0.16261237511566695,5
Arable land,Arable land,289.4668524892745,6.8883707497266045,0.6888370749726604,5
Arable land,Permanent crops,25.0,15.905365124674027,1.590536512467403,5
Arable land,Pastures,22.79373587440063,9.016994374947423,0.9016994374947424,3
Arable land,Agricultural areas,96.5558146251367,0,0,5
Arable land,Residential,25.0,0,0,5
Arable land,Industry & commerce,57.0436517504837,0,0,5
Arable land,Recreation areas,97.05831449920083,0,0,5
Arable land,Forest,38.19660112501052,0,0,5
Permanent crops,Arable land,93.61412912433752,16.718427000252362,1.6718427000252363,5
Permanent crops,Permanent crops,610.1999303165221,8.203932499369088,0.8203932499369089,5
Permanent crops,Pastures,6.25,2.128623625220819,0.2128623625220819,5
Permanent crops,Agricultural areas,39.512162874653,11.64811787423239,1.164811787423239,5
Permanent crops,Residential,6.25,0,0,5
Permanent crops,Industry & commerce,6.25,17.531488875830696,1.7531488875830696,5
Permanent crops,Recreation areas,0,0,0,5
Permanent crops,Forest,0,0,0,5
Pastures,Arable land,25.0,9.830056250525757,0.9830056250525758,5
Pastures,Permanent crops,0,0,0,5
Pastures,Pastures,500.0,3.444185374863302,0.3444185374863302,5
Pastures,Agricultural areas,6.25,0,0,5
Pastures,Residential,67.37620787507362,0,0,5
Pastures,Industry & commerce,52.78640450004206,0,0,5
Pastures,Recreation areas,84.09463487532597,0,0,5
Pastures,Forest,0,0,0,5
Agricultural areas,Arable land,6.25,0,0,5
Agricultural areas,Permanent crops,0,5.572809000084121,0.5572809000084121,5
Agricultural areas,Pastures,6.25,0,0,5
Agricultural areas,Agricultural areas,1000.0,0.502499874064149,0.0502499874064149,5
Agricultural areas,Residential,99.49750012593586,3.444185374863302,0.3444185374863302,5
Agricultural areas,Industry & commerce,6.25,0,0,5
Agricultural areas,Recreation areas,0,0,0,5
Agricultural areas,Forest,0,0,0,5
Residential,Arable land,0,0,0,5
Residential,Permanent crops,0,0,0,5
Residential,Pastures,0,0,0,5
