from,to,distance,new value,max deviation,KSIM
Seaports,Recreation areas,1.0,12.6,2.01278723076,0.0886481093754
Seaports,Recreation areas,1.0,12.8,2.01278723076,0.0886481093754
Seaports,Recreation areas,1.0,13.2,2.01278723076,0.0886481093754
Seaports,Recreation areas,1.0,14.0,2.01278723076,0.0886481093754
Seaports,Recreation areas,1.0,15.6,2.01278723076,0.0886481093754
Seaports,Recreation areas,1.0,18.8,2.01278723076,0.0886481093754
Seaports,Recreation areas,1.0,25.2,2.01278723076,0.0886481093754
Road & rail,Recreation areas,2.0,1.26,1.73963577425,0.0887116685371
Road & rail,Recreation areas,2.0,1.28,1.73963577425,0.0887116685371
Road & rail,Recreation areas,2.0,1.32,1.73963577425,0.0887116685371
Road & rail,Recreation areas,2.0,1.4,1.73963577425,0.0887116685371
Road & rail,Recreation areas,2.0,1.56,1.73963577425,0.0887116685371
Road & rail,Recreation areas,2.0,1.88,1.73963577425,0.0887116685371
Road & rail,Recreation areas,2.0,2.52,1.73963577425,0.0887116685371
Road & rail,Recreation areas,2.0,3.8,1.73963577425,0.0887116685371
Road & rail,Recreation areas,2.0,6.36,1.73963577425,0.0887116685371
Road & rail,Recreation areas,2.0,11.48,1.73963577425,0.0887116685371
Arable land,Pastures,0.0,51.0,1.59387643689,0.0886298620252
Arable land,Pastures,0.0,53.0,1.59387643689,0.0886298620252
Arable land,Pastures,0.0,57.0,1.59387643689,0.0886298620252
Arable land,Pastures,0.0,65.0,1.59387643689,0.0886298620252
Arable land,Pastures,0.0,81.0,1.59387643689,0.0885576894201
Arable land,Pastures,0.0,113.0,1.59387643689,0.0885576894201
Arable land,Pastures,0.0,177.0,1.59387643689,0.0885366785241
Industry & commerce,Recreation areas,0.0,13.5,1.5781357877,0.0887939622524
Industry & commerce,Recreation areas,0.0,15.5,1.5781357877,0.0887939622524
Industry & commerce,Recreation areas,0.0,19.5,1.5781357877,0.0887939622524
Industry & commerce,Recreation areas,0.0,27.5,1.5781357877,0.0887939622524
Industry & commerce,Recreation areas,0.0,43.5,1.5781357877,0.0887939622524
Industry & commerce,Recreation areas,0.0,75.5,1.5781357877,0.0887939622524
Industry & commerce,Recreation areas,0.0,139.5,1.5781357877,0.0887939622524
Industry & commerce,Recreation areas,0.0,267.5,1.5781357877,0.0887939622524
Industry & commerce,Recreation areas,0.0,523.5,1.5781357877,0.0887939622524
Road & rail,Residential,1.0,6.35,1.52175847868,0.0886080673897
Road & rail,Residential,1.0,6.55,1.52175847868,0.0886080673897
Road & rail,Residential,1.0,6.95,1.52175847868,0.0886080673897
Road & rail,Residential,1.0,7.75,1.52175847868,0.0886080673897
Road & rail,Residential,1.0,9.35,1.52175847868,0.0886080673897
Road & rail,Residential,1.0,12.55,1.52175847868,0.0886080673897
Road & rail,Residential,1.0,18.95,1.52175847868,0.0886080673897
Road & rail,Residential,1.0,31.75,1.52175847868,0.0886080673897
Pastures,Pastures,2.0,3.76,1.3209958805,0.0886273470295
Pastures,Pastures,2.0,3.78,1.3209958805,0.0886273470295
Pastures,Pastures,2.0,3.82,1.3209958805,0.0885777259722
Pastures,Pastures,2.0,3.9,1.3209958805,0.0883956443442
Pastures,Pastures,2.0,4.06,1.3209958805,0.0883549650596
Pastures,Pastures,2.0,4.38,1.3209958805,0.0885128527885
Pastures,Pastures,2.0,5.02,1.3209958805,0.0881870826519
Pastures,Pastures,2.0,6.3,1.3209958805,0.0882567350122
Pastures,Pastures,2.0,8.86,1.3209958805,0.0880763152286
Pastures,Pastures,2.0,8.87,1.33048425268,0.0867625268752
