theta_st,theta_cp,theta_it,FK,FKS,CLU
0,0,0,0.857641638,-0.001880461,0.040854014
0,0,0.0125,0.856372152,-0.006787016,0.040821756
0,0,0.025,0.837115726,-0.003374857,0.064177212
0,0,0.0375,0.816918658,-0.000798918,0.07891928
0,0,0.05,0.784401453,-0.001764993,0.118542453
0,0.025,0,0.86217661,-0.003092328,0.035134558
0,0.025,0.0125,0.851554221,-0.004530974,0.049972395
0,0.025,0.025,0.828802885,-0.002492159,0.069968022
0,0.025,0.0375,0.801011841,-0.000853365,0.100382675
0,0.025,0.05,0.753811421,-0.005695065,0.157217484
0,0.05,0,0.86217661,-0.003092328,0.035134558
0,0.05,0.0125,0.840373565,-0.00415309,0.062363976
0,0.05,0.025,0.814838535,-0.002671793,0.085456209
0,0.05,0.0375,0.765458576,-0.006003533,0.145239394
0,0.05,0.05,0.699598237,-0.006975838,0.215691158
0,0.075,0,0.861159492,-0.003090578,0.036599579
0,0.075,0.0125,0.820558871,-0.003433089,0.080751853
0,0.075,0.025,0.772478988,-0.004971708,0.136445586
0,0.075,0.0375,0.695468582,-0.006171977,0.216960929
0,0.075,0.05,0.639595889,-0.005567618,0.254896419
0,0.1,0,0.833284325,-0.001604195,0.069538754
0,0.1,0.0125,0.765259741,-0.002554209,0.138645707
0,0.1,0.025,0.682980202,-0.003905201,0.221029207
0,0.1,0.0375,0.625532121,-0.003468566,0.255655335
0,0.1,0.05,0.598597598,-0.002604544,0.265489905
0.025,0,0,0.847699877,0.009527731,0.008116913
0.025,0,0.0125,0.857159845,0.009673484,0.011619164
0.025,0,0.025,0.837253381,0.010285274,0.03801225
0.025,0,0.0375,0.822493691,0.013973327,0.052717969
0.025,0,0.05,0.802136025,0.011926986,0.07687275
0.025,0.025,0,0.850690053,0.01012564,0.007015307
0.025,0.025,0.0125,0.851928949,0.017399945,0.018047822
0.025,0.025,0.025,0.829261736,0.013689779,0.043332563
0.025,0.025,0.0375,0.813775532,0.014253625,0.060143888
0.025,0.025,0.05,0.781082435,0.01063134,0.103816749
0.025,0.05,0,0.856509807,0.012202882,0.007077586
0.025,0.05,0.0125,0.839127021,0.024765216,0.027825319
0.025,0.05,0.025,0.819602933,0.019630021,0.047731221
0.025,0.05,0.0375,0.793264915,0.01439722,0.084762656
0.025,0.05,0.05,0.73316315,0.005360906,0.156635935
0.025,0.075,0,0.857802236,0.023406952,0.00726282
0.025,0.075,0.0125,0.823350212,0.031708961,0.03286782
0.025,0.075,0.025,0.796973957,0.019521685,0.068464353
0.025,0.075,0.0375,0.735182092,0.008458074,0.144413894
0.025,0.075,0.05,0.656642184,0.001724659,0.215238277
0.025,0.1,0,0.844916185,0.043305781,0.012185499
0.025,0.1,0.0125,0.793257268,0.029523445,0.055629789
0.025,0.1,0.025,0.731633648,0.014076457,0.132993342
0.025,0.1,0.0375,0.644612654,0.003926308,0.210565547
0.025,0.1,0.05,0.600433,0.001600692,0.233877072
0.05,0,0,0.849649992,0.013981509,0.014516193
0.05,0,0.0125,0.857320443,0.018607131,0.010419481
0.05,0,0.025,0.838951128,0.039952021,0.020231841
0.05,0,0.0375,0.825170319,0.036866979,0.027784934
0.05,0,0.05,0.811840712,0.037259736,0.038520809
0.05,0.025,0,0.851110666,0.020569336,0.015800162
0.05,0.025,0.0125,0.85254075,0.04323852,0.010839013
0.05,0.025,0.025,0.830317092,0.049598303,0.022001568
0.05,0.025,0.0375,0.817599286,0.046033261,0.026147665
0.05,0.025,0.05,0.797692822,0.04026132,0.049022371
0.05,0.05,0,0.851997777,0.033115771,0.018092902
0.05,0.05,0.0125,0.838767588,0.064570395,0.014097658
0.05,0.05,0.025,0.820084726,0.056301306,0.022344382
0.05,0.05,0.0375,0.802801358,0.048484302,0.030726559
0.05,0.05,0.05,0.765328568,0.031727619,0.076548968
0.05,0.075,0,0.84802872,0.04723261,0.022227905
0.05,0.075,0.0125,0.820727117,0.065684571,0.016177625
0.05,0.075,0.025,0.80242663,0.056764026,0.018903515
0.05,0.075,0.0375,0.770200031,0.039331762,0.055456607
0.05,0.075,0.05,0.699169976,0.019500773,0.14057447
0.05,0.1,0,0.835395037,0.066010175,0.025615777
0.05,0.1,0.0125,0.796652761,0.059251697,0.015756125
0.05,0.1,0.025,0.769052905,0.04565689,0.042055557
0.05,0.1,0.0375,0.700179447,0.02326433,0.123389474
0.05,0.1,0.05,0.62209839,0.010450043,0.189625622
0.075,0,0,0.851439509,0.034185303,0.022295374
0.075,0,0.0125,0.853886711,0.045222898,0.019937381
0.075,0,0.025,0.834416156,0.066218801,0.013390796
0.075,0,0.0375,0.821507162,0.062663924,0.019867435
0.075,0,0.05,0.809125847,0.057596989,0.024229263
0.075,0.025,0,0.849321149,0.043796783,0.026496581
0.075,0.025,0.0125,0.84545151,0.067044269,0.023818803
0.075,0.025,0.025,0.821346565,0.067678159,0.018195625
0.075,0.025,0.0375,0.810295916,0.064553565,0.020187599
0.075,0.025,0.05,0.796300976,0.059760486,0.021862107
0.075,0.05,0,0.843868476,0.054651315,0.032264419
0.075,0.05,0.0125,0.831326563,0.088648109,0.028150078
0.075,0.05,0.025,0.808055196,0.065063725,0.021678056
0.075,0.05,0.0375,0.796163321,0.06211861,0.019132519
0.075,0.05,0.05,0.777771064,0.053658986,0.023035106
0.075,0.075,0,0.833628463,0.065048396,0.038266846
0.075,0.075,0.0125,0.810081785,0.07974287,0.031310241
0.075,0.075,0.025,0.794220854,0.065050924,0.020949298
0.075,0.075,0.0375,0.778069317,0.059121978,0.015760645
0.075,0.075,0.05,0.743403163,0.041872039,0.051368054
0.075,0.1,0,0.819419393,0.069920033,0.042405346
0.075,0.1,0.0125,0.789089376,0.066111787,0.029739386
0.075,0.1,0.025,0.776470988,0.062484716,0.017076138
0.075,0.1,0.0375,0.744825599,0.046872429,0.035244327
0.075,0.1,0.05,0.681825428,0.028513153,0.110011804
0.1,0,0,0.84563505,0.05191676,0.034093638
0.1,0,0.0125,0.841803649,0.06172463,0.033896319
0.1,0,0.025,0.823105492,0.082245909,0.029978671
0.1,0,0.0375,0.809645877,0.070182121,0.026114156
0.1,0,0.05,0.799367627,0.06529602,0.020405011
0.1,0.025,0,0.839387036,0.058713136,0.039717967
0.1,0.025,0.0125,0.831555988,0.072286581,0.039359233
0.1,0.025,0.025,0.809584697,0.074226685,0.034196741
0.1,0.025,0.0375,0.799619994,0.068558738,0.028049543
0.1,0.025,0.05,0.788263445,0.06500419,0.021834527
0.1,0.05,0,0.830852417,0.062947158,0.045126117
0.1,0.05,0.0125,0.819128787,0.088045978,0.043048768
0.1,0.05,0.025,0.796920424,0.070842532,0.036625725
0.1,0.05,0.0375,0.78837051,0.067763649,0.029264625
0.1,0.05,0.05,0.774681471,0.060061759,0.019856522
0.1,0.075,0,0.820612404,0.068837517,0.049996133
0.1,0.075,0.0125,0.800820653,0.084884808,0.045572256
0.1,0.075,0.025,0.784569699,0.066278888,0.036287461
0.1,0.075,0.0375,0.774559111,0.063981738,0.028538626
0.1,0.075,0.05,0.756266271,0.054134938,0.017389347
0.1,0.1,0,0.807106905,0.071426137,0.053832467
0.1,0.1,0.0125,0.783009607,0.072225943,0.044948288
0.1,0.1,0.025,0.773985547,0.065175822,0.033694443
0.1,0.1,0.0375,0.757688708,0.058456892,0.022195562
0.1,0.1,0.05,0.72880407,0.047069409,0.029184833
