theta_cp,FK,FKS,CLU
0,0.874864526,0.020661359,0.006638997
0.0025,0.874982241,0.020040441,0.006661652
0.005,0.875173544,0.020174004,0.00668095
0.0075,0.875301752,0.019812975,0.006719671
0.01,0.875436919,0.019678735,0.006769255
0.0125,0.875630893,0.01994999,0.006832702
0.015,0.875712863,0.01927755,0.006860108
0.0175,0.875894606,0.019586428,0.006914391
0.02,0.876017435,0.019227797,0.006948105
0.0225,0.876092654,0.018726907,0.006989676
0.025,0.876223051,0.018602277,0.007051688
0.0275,0.876365491,0.018704457,0.007113557
0.03,0.876491122,0.018597797,0.007169389
0.0325,0.876630733,0.018918499,0.007190713
0.035,0.876766871,0.019252968,0.007249923
0.0375,0.87689854,0.020009034,0.007286238
0.04,0.876945642,0.02063245,0.007345187
0.0425,0.876985372,0.021866834,0.007415021
0.045,0.876969898,0.023331861,0.007557105
0.0475,0.876967052,0.025001055,0.007765805
0.05,0.87689128,0.02697873,0.008004755
