theta_cp,FK,FKS,CLU
0,0.871751612,0.032023772,0.018210844
0.0025,0.871883252,0.03347445,0.01842818
0.005,0.872058109,0.035062712,0.018632514
0.0075,0.872183815,0.036806895,0.018920848
0.01,0.872270395,0.038366125,0.019177629
0.0125,0.87228617,0.039913568,0.019470276
0.015,0.872284535,0.04161375,0.019767862
0.0175,0.872363703,0.043583944,0.020056661
0.02,0.872352663,0.045549435,0.020427495
0.0225,0.872222216,0.046828208,0.020791392
0.025,0.872227897,0.049655775,0.021188294
0.0275,0.87213032,0.051556149,0.02160129
0.03,0.872035011,0.053999935,0.022010887
0.0325,0.871854824,0.055987627,0.022495303
0.035,0.871693954,0.058376986,0.022965467
0.0375,0.871389774,0.060270956,0.023386797
0.04,0.87107884,0.062508426,0.023919461
0.0425,0.870750065,0.064688589,0.024422186
0.045,0.870322668,0.066946348,0.024960383
0.0475,0.869865693,0.06938092,0.025552778
0.05,0.869219694,0.070695103,0.02604398
