theta_it,FK,FKS,CLU
0,0.874821183,0.020735954,0.00800791
0.001,0.875766397,0.021490149,0.007896657
0.002,0.876496982,0.022377479,0.007732267
0.003,0.876909631,0.023531104,0.007478198
0.004,0.876954424,0.02426951,0.00750756
0.005,0.87689128,0.02697873,0.008004755
0.006,0.8764265,0.030827467,0.009074789
0.007,0.875363704,0.034825902,0.010736207
0.008,0.873711047,0.038651801,0.012877162
0.009,0.871650941,0.042076259,0.015209145
0.01,0.869226707,0.04406997,0.017256391
0.011,0.866550256,0.043738672,0.018990938
0.012,0.864169808,0.044208576,0.020529162
0.013,0.861933573,0.043853271,0.021845298
0.014,0.859909455,0.043195136,0.023200573
0.015,0.858060937,0.042891925,0.024790314
0.016,0.856493263,0.042632568,0.026446215
0.017,0.854941113,0.041668204,0.027991955
0.018,0.85364783,0.041200378,0.029488527
0.019,0.852424363,0.040858374,0.031032046
0.02,0.851303794,0.040335246,0.032381707
