theta_st,theta_cp,theta_it,FK,FKS,CLU,Dev
0.1,0.0325,0.01625,0.821904833,0.091339801,0.038350646,-2.703722321
0.1,0.055,0.01625,0.807252207,0.086054434,0.041861824,-2.703722321
0.0775,0.0325,0.01625,0.831586578,0.082242868,0.024746272,-2.703722321
0.055,0.1,0.005,0.817851654,0.081613224,0.021765608,-2.703722321
0.0775,0.1,0.005,0.808888774,0.080898795,0.040235845,-2.703722321
0.1,0.1,0.005,0.799558814,0.077869913,0.051608621,-2.703722321
0.0775,0.055,0.01625,0.816184497,0.077641479,0.028533526,-2.703722321
0.1,0.01,0.01625,0.834400861,0.077312909,0.034539642,-2.703722321
0.0775,0.0775,0.005,0.825919775,0.075754531,0.038438947,-2.703722321
0.1,0.0775,0.01625,0.791360686,0.074548418,0.042853701,-2.703722321
0.1,0.01,0.0275,0.813836712,0.074125899,0.03085401,-2.703722321
0.1,0.0775,0.005,0.813477279,0.073874128,0.049833093,-2.703722321
0.055,0.0775,0.005,0.839463511,0.071597987,0.023586738,-2.703722321
0.1,0.0325,0.0275,0.803252561,0.071130132,0.033994293,-2.703722321
0.0775,0.01,0.01625,0.845290912,0.070493251,0.02036749,-2.703722321
0.1,0.055,0.005,0.825170319,0.070019887,0.046244576,-2.703722321
0.0775,0.0775,0.01625,0.80000237,0.069653961,0.029381262,-2.703722321
0.1,0.0325,0.03875,0.79570447,0.069380266,0.028147243,-2.703722321
0.1,0.01,0.03875,0.804965603,0.069250357,0.026554985,-2.703722321
0.0775,0.0325,0.0275,0.814012605,0.068103691,0.020150874,-2.703722321
0.1,0.0775,0.0275,0.783407277,0.06782529,0.033965083,-2.703722321
0.0775,0.055,0.0275,0.803030783,0.066961505,0.021696663,-2.703722321
0.1,0.1,0.01625,0.778046374,0.066746145,0.041769482,-2.703722321
0.1,0.055,0.0275,0.792117789,0.066735082,0.035253121,-2.703722321
0.055,0.055,0.01625,0.8261492,0.066641115,0.015894361,-2.703722321
0.0775,0.01,0.0275,0.824902656,0.066555672,0.016356427,-2.703722321
0.1,0.055,0.03875,0.784600289,0.066512451,0.028754178,-2.703722321
0.0775,0.055,0.005,0.837597519,0.064863717,0.03478774,-2.703722321
0.1,0.1,0.0275,0.7713701,0.064682199,0.032215774,-2.703722321
0.1,0.01,0.05,0.794878539,0.064477895,0.021528113,-2.703722321
0.0775,0.0775,0.0275,0.789196441,0.064145695,0.020065937,-2.703722321
0.055,0.0775,0.01625,0.809814123,0.063365758,0.016618516,-2.703722321
0.1,0.0775,0.03875,0.771821303,0.063227438,0.027390776,-2.703722321
0.0775,0.01,0.03875,0.81457852,0.063168417,0.020132258,-2.703722321
0.0775,0.055,0.03875,0.791200088,0.062880059,0.01885077,-2.703722321
0.1,0.0325,0.05,0.784233208,0.062859297,0.021632248,-2.703722321
0.0775,0.1,0.01625,0.783812595,0.062786986,0.027460453,-2.703722321
0.0775,0.0325,0.03875,0.803818476,0.062618719,0.020316717,-2.703722321
0.1,0.0325,0.005,0.834224968,0.062254684,0.041314352,-2.703722321
0.055,0.0325,0.01625,0.838867006,0.061083785,0.014574783,-2.703722321
0.0775,0.1,0.0275,0.771874835,0.060570319,0.017234484,-2.703722321
0.0325,0.1,0.005,0.820979484,0.060186431,0.017165418,-2.703722321
0.055,0.055,0.0275,0.812636053,0.060045925,0.020419936,-2.703722321
0.0775,0.01,0.05,0.803382568,0.059949377,0.023300153,-2.703722321
0.055,0.1,0.01625,0.790045314,0.059443199,0.015206612,-2.703722321
0.0775,0.0325,0.05,0.791184793,0.059370251,0.020053847,-2.703722321
0.1,0.055,0.05,0.771974253,0.059329801,0.019612621,-2.703722321
0.1,0.1,0.03875,0.755723298,0.058024545,0.020373354,-2.703722321
0.055,0.0325,0.0275,0.824229675,0.057645727,0.021692771,-2.703722321
0.0775,0.0775,0.03875,0.773411984,0.057077409,0.01530323,-2.703722321
0.055,0.0775,0.0275,0.794649114,0.056932088,0.018406577,-2.703722321
0.1,0.01,0.005,0.841688936,0.055934631,0.036404513,-2.703722321
0.0775,0.0325,0.005,0.845841533,0.05488555,0.029372357,-2.703722321
0.1,0.0775,0.05,0.754178502,0.05332056,0.017192799,-2.703722321
0.0775,0.055,0.05,0.772815479,0.053217699,0.022589117,-2.703722321
0.055,0.0325,0.03875,0.812376038,0.051843568,0.023979813,-2.703722321
0.055,0.055,0.03875,0.795421512,0.051199991,0.028874021,-2.703722321
0.055,0.01,0.0275,0.832634287,0.050636002,0.021303875,-2.703722321
0.055,0.055,0.005,0.849848827,0.048605063,0.020140868,-2.703722321
0.055,0.1,0.0275,0.764143205,0.047502128,0.04013682,-2.703722321
0.0325,0.0775,0.005,0.845191495,0.047480526,0.014553713,-2.703722321
0.055,0.01,0.01625,0.850659463,0.047186253,0.012496406,-2.703722321
0.055,0.01,0.03875,0.821231852,0.047113862,0.025512032,-2.703722321
0.1,0.1,0.05,0.72880407,0.047069409,0.029184833,-2.703722321
0.0775,0.1,0.03875,0.74319668,0.046541612,0.034603059,-2.703722321
0.055,0.01,0.05,0.808628759,0.045234056,0.033886331,-2.703722321
0.055,0.0325,0.05,0.791796594,0.044277311,0.044361486,-2.703722321
0.0325,0.0775,0.01625,0.815978014,0.043383922,0.026913836,-2.703722321
0.0775,0.0775,0.05,0.741208328,0.042251335,0.049078018,-2.703722321
0.0775,0.01,0.005,0.850231203,0.04197056,0.024518852,-2.703722321
0.055,0.0775,0.03875,0.764234975,0.039373159,0.05308635,-2.703722321
0.0325,0.1,0.01625,0.786152733,0.037833294,0.049218162,-2.703722321
0.0325,0.055,0.01625,0.828581107,0.034496601,0.024478147,-2.703722321
0.055,0.055,0.05,0.760610056,0.034099591,0.070337257,-2.703722321
0.055,0.0325,0.005,0.854337914,0.033274283,0.016936095,-2.703722321
0.0775,0.1,0.05,0.688532293,0.031138277,0.099733308,-2.703722321
0.0325,0.055,0.0275,0.814249677,0.030553318,0.04031315,-2.703722321
0.0325,0.0775,0.0275,0.789517636,0.03011762,0.061637589,-2.703722321
0.0325,0.0325,0.01625,0.839746469,0.028645185,0.021869815,-2.703722321
0.055,0.1,0.03875,0.703567293,0.026003067,0.112636428,-2.703722321
0.0325,0.0325,0.0275,0.824298503,0.025765184,0.036978964,-2.703722321
0.0325,0.0325,0.03875,0.810204146,0.024435031,0.054461026,-2.703722321
0.0325,0.055,0.005,0.856303324,0.023926381,0.008314736,-2.703722321
0.055,0.0775,0.05,0.701991907,0.023257624,0.127755789,-2.703722321
0.0325,0.055,0.03875,0.787032196,0.022785979,0.078802024,-2.703722321
0.055,0.01,0.005,0.853657286,0.021880909,0.015098752,-2.703722321
0.0325,0.01,0.01625,0.849856475,0.021611657,0.016427992,-2.703722321
0.0325,0.1,0.0275,0.729997081,0.020601779,0.120290868,-2.703722321
0.0325,0.01,0.0275,0.831349505,0.019926171,0.034707486,-2.703722321
0.0325,0.01,0.03875,0.819105845,0.019245859,0.046530475,-2.703722321
0.0325,0.01,0.05,0.800010017,0.019124682,0.071370969,-2.703722321
0.0325,0.0325,0.05,0.778245209,0.017190122,0.097480353,-2.703722321
0.01,0.0775,0.005,0.843860828,0.016474337,0.04326388,-2.703722321
0.01,0.1,0.005,0.811527164,0.014567087,0.06913835,-2.703722321
0.0325,0.0775,0.03875,0.732100146,0.014322319,0.13271196,-2.703722321
0.0325,0.0325,0.005,0.857404565,0.013558776,0.007242632,-2.703722321
0.0325,0.01,0.005,0.856012719,0.013201265,0.006569807,-2.703722321
0.055,0.1,0.05,0.630151216,0.012489421,0.17754758,-2.703722321
0.0325,0.055,0.05,0.729951196,0.009191478,0.146024673,-2.703722321
0.0325,0.1,0.03875,0.649399994,0.007430605,0.195450542,-2.703722321
0.01,0.01,0.005,0.857993423,0.007424651,0.017873537,-2.703722321
0.01,0.055,0.005,0.858712289,0.005902518,0.025157864,-2.703722321
0.01,0.0775,0.01625,0.810685939,0.005531972,0.075830018,-2.703722321
0.0325,0.0775,0.05,0.659035854,0.004981127,0.200888883,-2.703722321
0.01,0.0325,0.005,0.859622342,0.00486426,0.019528161,-2.703722321
0.0325,0.1,0.05,0.604470884,0.004483597,0.221643414,-2.703722321
0.01,0.1,0.01625,0.760059435,0.004476493,0.127779945,-2.703722321
0.01,0.01,0.01625,0.849053486,0.003985711,0.040822115,-2.703722321
0.01,0.01,0.03875,0.813660819,0.003649909,0.075724006,-2.703722321
0.01,0.055,0.01625,0.829674701,0.003481892,0.059249133,-2.703722321
0.01,0.0325,0.01625,0.840824768,0.003356366,0.050599054,-2.703722321
0.01,0.0325,0.03875,0.797623995,0.002224204,0.096873142,-2.703722321
0.01,0.055,0.0275,0.807909893,0.001867346,0.083601472,-2.703722321
0.01,0.0325,0.0275,0.822830181,0.001789687,0.066279785,-2.703722321
0.01,0.01,0.05,0.78382789,0.001693744,0.11292607,-2.703722321
0.01,0.01,0.0275,0.830775942,0.001675527,0.06045945,-2.703722321
0.01,0.0775,0.0275,0.765802714,-4.52E-05,0.131094197,-2.703722321
0.01,0.055,0.03875,0.762032492,-0.000593039,0.140752669,-2.703722321
0.01,0.1,0.03875,0.625463294,-0.00113974,0.241882341,-2.703722321
0.01,0.1,0.05,0.598031683,-0.001274252,0.254564227,-2.703722321
0.01,0.1,0.0275,0.681817781,-0.001322085,0.207324202,-2.703722321
0.01,0.0325,0.05,0.752878425,-0.001617275,0.151085644,-2.703722321
0.01,0.0775,0.03875,0.692983142,-0.001883306,0.20733522,-2.703722321
0.01,0.0775,0.05,0.638961146,-0.002911864,0.244243826,-2.703722321
0.01,0.055,0.05,0.69826757,-0.003045645,0.20717607,-2.703722321
