theta_st,theta_cp,theta_it,FK,FKS,CLU,Dev
0.055,0.01,0.01625,0.867147071,0.112491533,0.011526004,-2.525581939
0.0775,0.01,0.0275,0.850119733,0.111739922,0.024332572,2.827807998
0.055,0.0325,0.01625,0.860688425,0.110822784,0.013467594,-2.525581939
0.0775,0.0325,0.0275,0.833017968,0.110787583,0.028385862,2.827807998
0.1,0.01,0.03875,0.823780699,0.110757313,0.036488415,2.795921812
0.0775,0.01,0.03875,0.847704977,0.110709443,0.019164287,2.827807998
0.055,0.01,0.0275,0.868751395,0.110678856,0.006869165,-2.525581939
0.055,0.055,0.01625,0.844975972,0.110430319,0.015340523,-2.525581939
0.055,0.0325,0.005,0.860084736,0.110113396,0.018146749,-2.525581939
0.055,0.055,0.005,0.847407267,0.11007174,0.022595808,-2.525581939
0.0775,0.055,0.01625,0.818512892,0.109620952,0.036466818,2.827807998
0.1,0.01,0.0275,0.827675734,0.109459436,0.038755966,2.795921812
0.0775,0.01,0.01625,0.850657264,0.109407163,0.026854473,2.827807998
0.1,0.01,0.01625,0.830495706,0.109321311,0.040653432,2.79034546
0.055,0.01,0.005,0.865418701,0.108673935,0.015641739,-2.525581939
0.0775,0.01,0.005,0.851327111,0.10855495,0.028962345,2.827807998
0.1,0.055,0.005,0.805115958,0.10852957,0.050201939,2.79034546
0.0775,0.055,0.0275,0.809639491,0.108365661,0.029402479,2.827807998
0.0775,0.0325,0.01625,0.836565674,0.108245556,0.032283445,2.827807998
0.0775,0.0325,0.005,0.838823306,0.10816136,0.034553114,2.827807998
0.1,0.0325,0.03875,0.803710107,0.108044649,0.039653127,2.795921812
0.1,0.0325,0.0275,0.811219006,0.10800433,0.043448021,2.795921812
0.055,0.0775,0.005,0.827981713,0.107489167,0.022151172,-2.525581939
0.1,0.01,0.005,0.831306137,0.107360847,0.041984478,2.79034546
0.055,0.0325,0.0275,0.859679521,0.10731078,0.007913259,-2.525581939
0.1,0.01,0.05,0.816478543,0.107249941,0.03245206,2.787329566
0.0775,0.0775,0.005,0.804851328,0.107142508,0.041806226,2.827807998
0.1,0.0325,0.01625,0.815577144,0.106908634,0.045320196,2.79034546
0.1,0.0325,0.005,0.818521162,0.106760858,0.04656303,2.79034546
0.0775,0.0325,0.03875,0.82519482,0.106539628,0.021485849,2.827807998
0.0775,0.055,0.005,0.822746985,0.106539128,0.039636216,2.827807998
0.1,0.0775,0.005,0.789461393,0.106402681,0.051639486,2.795921812
0.1,0.055,0.01625,0.800071434,0.106137147,0.048593756,2.79034546
0.0325,0.0325,0.005,0.871058645,0.10567873,0.012361264,-2.525581939
0.0325,0.01,0.005,0.869379893,0.105587795,0.014378442,-2.525581939
0.1,0.055,0.0275,0.791727294,0.105538705,0.045309156,2.787544443
0.0775,0.01,0.05,0.841502693,0.105259716,0.01331033,2.827807998
0.1,0.0775,0.01625,0.780893971,0.10468102,0.048187751,2.795921812
0.0325,0.01,0.01625,0.875491211,0.104428371,0.015245594,-2.525581939
0.0775,0.0775,0.01625,0.794299175,0.103784861,0.035152531,2.827807998
0.0325,0.055,0.005,0.872001392,0.103771941,0.011004335,-2.525581939
0.055,0.01,0.03875,0.868817553,0.101684697,0.010869445,-2.525581939
0.0775,0.1,0.005,0.781820179,0.101132383,0.038655814,2.827807998
0.0325,0.0325,0.01625,0.877384975,0.100259073,0.017630948,-2.525581939
0.1,0.1,0.005,0.76997795,0.100237502,0.050453391,2.795921812
0.1,0.055,0.03875,0.776080998,0.098814696,0.039150743,2.795921812
0.1,0.0325,0.05,0.787377425,0.098238896,0.03231005,2.787544443
0.055,0.055,0.0275,0.830851303,0.097322021,0.01271772,-2.525581939
0.1,0.0775,0.0275,0.765247675,0.09472531,0.042965659,2.795921812
0.055,0.0775,0.01625,0.811921932,0.094542001,0.009242988,-2.525581939
0.055,0.1,0.005,0.795192303,0.094039555,0.013995352,-2.525581939
0.1,0.1,0.01625,0.755795394,0.092198471,0.044885335,2.795921812
0.055,0.0325,0.03875,0.848440981,0.091310412,0.019222144,-2.525581939
0.0325,0.0775,0.005,0.854957515,0.091093222,0.018249647,-2.525581939
0.0775,0.0775,0.0275,0.771276295,0.09107682,0.021374628,2.827807998
0.0775,0.055,0.03875,0.783879337,0.090652616,0.011978579,2.827807998
0.0325,0.055,0.01625,0.871075184,0.090632384,0.022473539,-2.525581939
0.0775,0.1,0.01625,0.760070835,0.089658746,0.026629024,2.827807998
0.0775,0.0325,0.05,0.798607695,0.08735512,0.014678801,2.827807998
0.01,0.01,0.005,0.87951856,0.086168869,0.03606027,-2.525581939
0.055,0.01,0.05,0.858993134,0.078807408,0.024352692,-2.525581939
0.1,0.1,0.0275,0.729092493,0.078131546,0.032320287,2.795921812
0.1,0.0775,0.03875,0.734542233,0.077895084,0.027528016,2.795921812
0.1,0.055,0.05,0.742133829,0.077568642,0.019232313,2.787544443
0.0325,0.01,0.0275,0.877178232,0.076492938,0.027861588,-2.525581939
0.0325,0.0325,0.0275,0.875863348,0.072289411,0.030154918,-2.525581939
0.055,0.1,0.01625,0.742638281,0.064131673,0.0369607,-2.525581939
0.01,0.0325,0.005,0.882495657,0.063688642,0.041738516,-2.525581939
0.055,0.0775,0.0275,0.753289671,0.059988274,0.048388045,-2.525581939
0.0325,0.1,0.005,0.79097475,0.059598954,0.051654136,-2.525581939
0.0775,0.1,0.0275,0.699644047,0.057434096,0.034283574,2.831907371
0.0325,0.0775,0.01625,0.810879948,0.053091335,0.0581379,-2.525581939
0.1,0.1,0.03875,0.6682026,0.052436945,0.034839348,2.795921812
0.055,0.055,0.03875,0.765644621,0.051955242,0.063703248,-2.525581939
0.0775,0.0775,0.03875,0.701116056,0.05161635,0.042744,2.827807998
0.0325,0.01,0.03875,0.874680779,0.050106066,0.036220547,-2.525581939
0.0775,0.055,0.05,0.705929028,0.049333047,0.056713809,2.827807998
0.1,0.0775,0.05,0.663414437,0.047961527,0.042568929,2.795921812
0.0325,0.055,0.0275,0.830809955,0.041893915,0.065688706,-2.525581939
0.055,0.0325,0.05,0.781960764,0.041534137,0.079472846,-2.525581939
0.01,0.055,0.005,0.882024283,0.04081269,0.045447663,-2.525581939
0.0325,0.0325,0.03875,0.843148365,0.032593385,0.069300963,-2.525581939
0.1,0.1,0.05,0.539666461,0.027081963,0.098875412,2.795921812
0.0775,0.1,0.03875,0.562234506,0.025810626,0.11373614,2.831907371
0.055,0.1,0.0275,0.59720712,0.024382532,0.133221668,-2.525581939
0.0325,0.01,0.05,0.846729151,0.022349154,0.072039675,-2.525581939
0.0775,0.0775,0.05,0.552509324,0.020735612,0.131957434,2.831907371
0.01,0.01,0.01625,0.877426323,0.019956999,0.052412863,-2.525581939
0.055,0.0775,0.03875,0.599456481,0.019947929,0.151354383,-2.525581939
0.0325,0.1,0.01625,0.643037866,0.019488551,0.15973115,-2.525581939
0.01,0.0775,0.005,0.85969606,0.017731676,0.06629316,-2.525581939
0.01,0.0325,0.01625,0.878484846,0.016477117,0.052797374,-2.525581939
0.055,0.055,0.05,0.609975556,0.014456112,0.171059157,-2.525581939
0.0325,0.0775,0.0275,0.661694337,0.013066336,0.172599034,-2.525581939
0.01,0.055,0.01625,0.868238673,0.011367962,0.06532966,-2.525581939
0.01,0.01,0.0275,0.876814365,0.011124702,0.0555437,-2.525581939
0.0775,0.1,0.05,0.378456688,0.008203617,0.182593756,2.831907371
0.01,0.0325,0.0275,0.868941598,0.006906881,0.065294806,-2.525581939
0.01,0.1,0.005,0.689546728,0.006481076,0.187414183,-2.525581939
0.01,0.01,0.03875,0.868114627,0.006276665,0.067149181,-2.525581939
0.0325,0.055,0.03875,0.686147876,0.006037904,0.182794094,-2.525581939
0.055,0.1,0.03875,0.40368758,0.005570628,0.215824978,-2.525581939
0.055,0.0775,0.05,0.412147496,0.003514428,0.226721344,-2.525581939
0.0325,0.1,0.0275,0.441281693,0.002936851,0.256342074,-2.525581939
0.0325,0.0325,0.05,0.710096963,0.000953502,0.18762205,-2.525581939
0.0325,0.0775,0.03875,0.470573014,-0.000208284,0.263034072,-2.525581939
0.01,0.0775,0.01625,0.731498979,-0.000609258,0.180076865,-2.525581939
0.055,0.1,0.05,0.262788221,-0.000971064,0.279888582,-2.525581939
0.01,0.1,0.01625,0.49369513,-0.001445358,0.297036506,-2.525581939
