theta_cp,FK,FKS,CLU
0,0.890160224,0.123313759,0.010174156
0.0025,0.890160224,0.123684942,0.010148886
0.005,0.890160224,0.124133406,0.010100208
0.0075,0.890160224,0.12457534,0.010052773
0.01,0.890160224,0.125107431,0.010009947
0.0125,0.890160224,0.125231356,0.009963518
0.015,0.890160224,0.125583721,0.009936924
0.0175,0.890160224,0.125467302,0.009887999
0.02,0.890160224,0.125546723,0.009783666
0.0225,0.890160224,0.12559069,0.009672464
0.025,0.890160224,0.125663172,0.009529748
0.0275,0.890160224,0.125713691,0.009373323
0.03,0.890160224,0.126051785,0.009155112
0.0325,0.890160224,0.125829553,0.00894023
0.035,0.890160224,0.125927189,0.008696617
0.0375,0.890160224,0.126187921,0.008375208
0.04,0.890160224,0.126260052,0.008061023
0.0425,0.890160224,0.126194437,0.007706188
0.045,0.890160224,0.126053201,0.007297269
0.0475,0.890160224,0.126144541,0.00686438
0.05,0.890160224,0.126028041,0.006640624
